CpG,coef
cg00329615,-1.5522157409200288
cg10804656,1.3635462351157361
cg22736354,1.2018259255899235
cg16014412,-0.972023787108412
cg25584930,0.9107196346616637
cg19663246,-0.8785440338339637
cg01620164,-0.8351562748096619
cg16477091,0.7613037263708966
cg05991454,0.724179411392339
cg27432653,0.6714852657956085
cg11312495,0.5140542812569917
cg06419846,0.5072402455811846
cg11617964,-0.4983983059916786
cg16429927,0.4918681934941592
cg21922223,-0.48948659692394525
cg15726426,0.430595155599823
ch.2.105901354F,-0.40258461008413127
cg13293524,-0.38339610716682476
cg19758448,-0.3778912043192352
cg06964816,-0.3694841469854253
cg13090456,0.36704880376429855
cg04501188,0.36164936595406616
cg23008153,-0.3508360846179099
cg04324276,0.35006249013642127
cg17616646,-0.34698126992607353
cg02792168,-0.3382125944940729
cg02131674,-0.3307440398090548
cg18031326,0.3222093612915544
cg13154614,0.3199298495555493
cg10806820,0.31363935270137105
cg27262717,0.3085849723690795
cg12379720,0.3080245176853051
cg02021606,0.30773042775201187
cg26161329,0.30733555041853045
cg03969996,0.2890457643533327
cg19488874,0.2878439532463086
cg20439656,0.2863777928491404
cg11781986,-0.28313722157241283
cg03746976,-0.2783170225665024
cg00816515,0.2745693808232046
cg16911349,0.27185066930533786
cg01413809,-0.2609598869806029
cg02088403,-0.2529198718364505
cg13337047,0.25080357178821405
cg27166177,-0.24560820448797868
cg21553216,0.23551132727726168
cg03025830,0.2307470744053963
cg08042135,0.2295209563241427
cg18826637,-0.2258812711936357
cg06805873,-0.21989500427266748
cg05095290,-0.21447144977714125
cg19640517,-0.2124358145362529
cg08827427,0.21184267847858873
cg07945433,0.20579522968543487
cg13251181,-0.20485755721588209
cg09063663,-0.2008807201875212
cg02330706,-0.19696366594049722
cg21140628,0.19613554975126876
cg18404041,-0.19201612750851466
cg09844573,-0.19184966300095774
cg16875629,-0.18996965805784838
cg13369332,-0.1888196380713283
cg11810743,-0.1879177763178176
cg24429836,-0.18661430831982875
cg13504434,-0.18634139916849565
cg14255824,-0.1831067384843198
cg10717214,-0.18205576740090207
cg09324735,-0.18050002488542388
cg10221746,-0.18043552661852486
cg08378788,0.17928086314499864
cg10486098,0.17881522114435777
cg05063670,-0.17846829265673053
cg18209651,0.17834807976768915
cg05516285,-0.17517786014945633
cg07739179,0.17411707916030542
cg00144039,0.17269017673275125
cg07680505,-0.16749104580272697
cg21475150,0.16650954183137778
cg12621303,0.16629349344667926
cg16529592,0.16569584224103315
cg24049493,0.16389206603793466
cg01034287,-0.16191420380036725
cg16655791,0.1616991956860229
cg06865913,0.16138278239031792
cg10001845,0.16046129621030397
cg22646528,-0.15901209608426947
cg03236802,0.15840821282889336
cg16398628,0.15757817274208455
cg27059225,-0.15659238528963573
cg27044649,-0.15634080416968582
cg03541126,-0.15584707705059322
cg12651914,0.15577475170472613
cg27148800,0.15562077492795634
cg25638870,0.155055426685873
cg01720616,-0.14944811810070285
cg16219535,-0.14755982317842556
cg23105863,0.14709822128621275
cg03957108,0.14687845193246338
cg03796543,-0.14617247174470582
cg18001983,0.14557079869199094
cg11718312,0.14460903129484037
cg19862344,-0.14346617643971699
cg04766005,-0.14291764236731938
cg12051615,-0.14242184890195572
cg17034959,-0.14228989189767433
cg06400319,-0.1414708172145656
cg13656556,0.14083081723391466
cg02218496,0.1357512245153605
cg21912203,0.13498451103255968
cg07390210,-0.13381867534881667
cg19815596,0.13217913904029258
cg22353329,0.13149325149800248
cg22917366,0.12670920461464066
cg04255207,-0.12597249057520418
cg07923390,0.12259255126512195
cg00911776,-0.11897909851661395
cg27312916,0.1170795224001747
cg06459070,0.11646662827554884
cg27063969,0.11447315463849018
cg17592231,0.1139767773023021
cg15122985,-0.11387191935098093
cg21803927,0.11336183457634834
cg27530093,-0.11304829405985926
cg00561674,0.11063793227382412
cg18548879,-0.11011041668035478
cg11574745,0.10974771469885879
cg20090970,0.10933222495934625
cg09723781,-0.10821296701227553
cg01139039,-0.10692353836871847
cg25601040,-0.1068345418804273
cg18057618,0.10672029878676907
cg05381423,0.10398222887034131
cg00549412,-0.10278254905696464
cg23206289,0.10241508449331865
cg02402091,-0.10215005448563684
cg03707502,0.10028907802342991
cg24433287,0.09946868428327046
cg12490887,-0.09936021141064867
cg21476494,0.09889416950507288
cg00646381,-0.09765314650703508
cg11930955,-0.09697472147999185
cg14702541,0.09671399892157548
cg02884176,0.09654603284469347
cg24886414,0.09650124436516165
cg06507987,0.09401466857585475
cg05720733,0.09207115102060838
cg13673960,0.0884604515954307
cg24118130,0.0884354909965009
cg15220605,-0.08527337721609152
cg03090940,-0.0846819085017264
cg22851271,0.08329067400346221
cg20712255,0.08274370569678087
cg04464727,-0.08196833157835196
cg22711676,0.07935177098001986
cg04695027,-0.07918640376653603
cg03670355,0.07877420893403496
cg19497517,-0.07872208310718112
cg26926221,0.07849973717357726
cg20265043,0.0782860234199902
cg25316428,0.07361815146652764
cg24323552,0.0724425609598574
cg27338841,0.07229333085965198
cg17593958,-0.07196438825433717
cg02184697,-0.07068148935022649
cg05462761,0.06973414892652686
cg17394649,-0.06904110456285076
cg16778274,-0.06884051937668886
cg00201025,0.06854501138973601
cg06796866,0.06838503467136912
cg06820006,0.06814607626181805
cg23559434,-0.06700345182899553
cg23910743,0.06663822949792148
cg21645089,0.06569097901827405
cg17738863,-0.0644143318615361
cg24674215,-0.06433713332266963
cg22233843,-0.0639699895382684
cg20088245,-0.06364885151878663
cg25343331,-0.06350040864694766
cg22372849,-0.06327301377827844
cg23235069,-0.06272687123265391
cg06100166,-0.06218458046458903
cg21599215,0.06114903741374258
cg00392377,0.05981090417257654
cg00258136,0.05943765361703472
cg27235148,0.059392154268038844
cg07929112,-0.05915061736061662
cg05929675,0.05837509219230339
cg16467656,-0.05657027597065092
cg14250251,0.05652286634055204
cg12300731,0.05561771420937911
cg26931990,0.055340820175753314
cg12029794,0.05406613073564385
cg03793678,-0.054039995853494366
cg10761315,-0.05335460874413917
cg24099680,-0.05320900162048279
cg14724471,0.053058841451003
cg04407474,-0.051523737992424164
cg16047471,-0.05107658065301938
cg26575450,0.0507812981702097
cg27428578,-0.04866099468250377
cg09136821,0.04861209326538
cg17170088,0.047992600717094346
cg15212418,-0.047939653338921584
cg25936177,0.04705881882335063
cg00007800,-0.04662411579951946
cg01795964,0.04626809391751321
cg13667638,0.045554352359790766
cg11202265,-0.0451634352868264
cg09214398,-0.04479524385550558
cg15168995,0.04402578620478735
cg16897193,-0.043859243220541126
cg03194122,0.043140164615752964
cg06108459,0.04046753587995947
cg03020208,0.038486321194058495
cg16832551,0.03777409992368092
cg01503065,0.0374509066685321
cg00507823,0.03650067885285182
cg06080014,0.034939254670365065
cg01366595,0.0344665591791423
cg25985583,-0.03437282250425799
cg04012282,-0.033314982945985845
cg05774978,0.03305661876883905
cg08749305,0.03229622418026015
cg00914963,-0.032209335169892876
cg13522462,0.031989035401230236
cg12678695,0.031510665235579535
cg14903612,-0.030817774002348083
cg06381964,-0.03050581098300561
cg05380003,-0.030456381484898723
cg05647430,-0.028895415550085884
cg26651290,-0.028300714150947363
cg26204322,0.02781416156908975
cg13478757,-0.02652343714758584
cg18107989,0.026354845717413446
cg10281002,0.026242074383683107
cg03493774,-0.02488512615290112
cg27392904,-0.02379318446129928
cg06529181,-0.023694236201130876
cg21143224,0.023488242514728693
cg17176609,-0.02320412046680822
cg02922280,0.02291278649451532
cg25754956,-0.021466662690537496
cg24222083,0.021368978766632976
cg22531183,-0.021119563375802643
cg02554564,0.020972726453703343
cg15676719,-0.02088380805072973
cg00727556,-0.01916361375845561
cg20078879,0.01901650470634576
cg05096492,-0.019010582096472363
cg03767531,0.017508061310400815
cg11242791,0.01651594073765827
cg22294288,0.0160317612162984
cg08376824,0.01602591515768494
